province_eng,region_eng,month,year,occupancy_rate,no_tourist_occupied,no_tourist_all,no_tourist_thai,no_tourist_foreign,net_profit_all,net_profit_thai,net_profit_foreign
Amnat Charoen,east_northeast,1,2019,65.15,8551,21790,20972,818,34.51,32.64,1.87
Amnat Charoen,east_northeast,2,2019,63.3,8001,20377,19597,780,32.29,30.5,1.79
Amnat Charoen,east_northeast,3,2019,66.07,9658,24786,24093,693,39.07,37.49,1.58
Amnat Charoen,east_northeast,4,2019,59.92,7762,23792,23089,703,32.04,29.4,2.64
Amnat Charoen,east_northeast,5,2019,56.24,7296,22436,21816,620,30.11,27.78,2.33
Amnat Charoen,east_northeast,6,2019,48.85,6454,19714,19094,620,26.63,24.3,2.33
Amnat Charoen,east_northeast,7,2019,51.3,7652,20517,19749,768,21.68,19.44,2.24
Amnat Charoen,east_northeast,8,2019,41.01,6243,16708,16056,652,17.7,15.8,1.9
Amnat Charoen,east_northeast,9,2019,42.02,6886,18453,17752,701,19.5,17.47,2.03
Amnat Charoen,east_northeast,10,2019,60.44,9898,39242,38575,667,61.44,58.42,3.02
Amnat Charoen,east_northeast,11,2019,57.54,9432,37148,36356,792,58.64,55.06,3.58
Amnat Charoen,east_northeast,12,2019,65.16,10574,41764,40949,815,65.68,62.01,3.67
Amnat Charoen,east_northeast,1,2020,58.36,8260,21009,20220,789,33.02,31.29,1.73
Amnat Charoen,east_northeast,2,2020,56.73,7510,19126,18394,732,30.23,28.57,1.66
Amnat Charoen,east_northeast,3,2020,9.42,1295,3199,3117,82,4.75,4.57,0.18
Amnat Charoen,east_northeast,4,2020,0.08,11,11,11,0,0.01,0.01,0
Amnat Charoen,east_northeast,5,2020,4.93,657,657,657,0,0.67,0.67,0
Amnat Charoen,east_northeast,6,2020,10.27,1129,4098,4098,0,4.62,4.62,0
Amnat Charoen,east_northeast,7,2020,22.78,3394,9355,9355,0,8.54,8.54,0
Amnat Charoen,east_northeast,8,2020,25.3,3835,10571,10571,0,8.69,8.69,0
Amnat Charoen,east_northeast,9,2020,26.26,4239,11684,11684,0,10.96,10.96,0
Amnat Charoen,east_northeast,10,2020,30.56,4958,21185,21185,0,30.26,30.26,0
Amnat Charoen,east_northeast,11,2020,30.87,5787,24560,24560,0,35.23,35.23,0
Amnat Charoen,east_northeast,12,2020,35.68,6690,28237,28237,0,40.65,40.65,0
Amnat Charoen,east_northeast,1,2021,26.61,5002,20364,20364,0,28.54,28.54,0
Amnat Charoen,east_northeast,2,2021,28.11,5283,18061,18061,0,26.25,26.25,0
Amnat Charoen,east_northeast,3,2021,25.4,4762,15940,15940,0,23.8,23.8,0
Amnat Charoen,east_northeast,4,2021,15.58,2653,7354,7354,0,10.99,10.99,0
Amnat Charoen,east_northeast,5,2021,1.59,280,1140,1140,0,1.36,1.36,0
Amnat Charoen,east_northeast,6,2021,3.23,549,2235,2235,0,2.65,2.65,0
Amnat Charoen,east_northeast,7,2021,2.63,464,1392,1392,0,1.01,1.01,0
Amnat Charoen,east_northeast,8,2021,2.72,480,1440,1440,0,1.05,1.05,0
Amnat Charoen,east_northeast,9,2021,5.79,988,2964,2964,0,2.17,2.17,0
Amnat Charoen,east_northeast,10,2021,9.11,1607,4821,4821,0,3.54,3.54,0
Amnat Charoen,east_northeast,11,2021,17.55,3076,12411,12411,0,11.65,11.65,0
Amnat Charoen,east_northeast,12,2021,36.94,6518,26300,26300,0,26.59,26.59,0
Amnat Charoen,east_northeast,1,2022,37.36,6918,22648,22568,80,24.93,24.69,0.24
Amnat Charoen,east_northeast,2,2022,28.44,5244,17145,17107,38,17.39,17.31,0.08
Amnat Charoen,east_northeast,3,2022,24.63,4884,15971,15939,32,15.91,15.85,0.06
Amnat Charoen,east_northeast,4,2022,26.14,5405,17181,17138,43,18.25,18.16,0.09
Amnat Charoen,east_northeast,5,2022,31.93,5708,18130,18081,49,19.55,19.44,0.11
Amnat Charoen,east_northeast,6,2022,30.63,5252,16696,16587,109,18.03,17.78,0.25
Amnat Charoen,east_northeast,7,2022,33.34,5473,17393,17207,186,19.9,19.38,0.52
Amnat Charoen,east_northeast,8,2022,31.89,5412,17253,17090,163,19.04,18.62,0.42
Amnat Charoen,east_northeast,9,2022,31.46,5321,17002,16844,158,18.54,18.15,0.39
Amnat Charoen,east_northeast,10,2022,33.44,5784,19311,19041,270,20.72,20.28,0.44
Amnat Charoen,east_northeast,11,2022,34.52,6045,20325,20032,293,22,21.51,0.49
Amnat Charoen,east_northeast,12,2022,37.63,6603,22573,22176,397,24.66,24,0.66
Amnat Charoen,east_northeast,1,2023,39.46,6934,23112,22684,428,37.96,37.17,0.79
Amnat Charoen,east_northeast,2,2023,38.09,6589,21896,21496,400,34.92,34.2,0.72
Amnat Charoen,east_northeast,3,2023,33.52,5747,19001,18587,414,34.4,33.65,0.75
Amnat Charoen,east_northeast,4,2023,32.83,5525,19907,19434,473,36.01,35.12,0.89
Amnat Charoen,east_northeast,5,2023,32.64,5457,18893,18447,446,33.43,32.62,0.81
Amnat Charoen,east_northeast,6,2023,30.91,5268,18285,17852,433,31.29,30.52,0.77
Amnat Charoen,east_northeast,7,2023,31.89,5472,19130,18666,464,34.7,33.89,0.81
Amnat Charoen,east_northeast,8,2023,33.14,5681,19574,19123,451,35,34.21,0.79
Amnat Charoen,east_northeast,9,2023,32.83,5448,18864,18429,435,34.51,33.75,0.76
Amnat Charoen,east_northeast,10,2023,34.14,5832,20033,19610,423,36.24,35.5,0.74
Amnat Charoen,east_northeast,11,2023,35.66,6062,20765,20356,409,37.44,36.74,0.7
Amnat Charoen,east_northeast,12,2023,41.81,7345,24925,24444,481,43.44,42.63,0.81
Amnat Charoen,east_northeast,1,2024,40.79,7039,23245,22804,441,39.06,38.26,0.8
Amnat Charoen,east_northeast,2,2024,38.81,6740,22040,21623,417,36.76,36,0.76
Amnat Charoen,east_northeast,3,2024,40.48,7089,23207,22798,409,38.96,38.23,0.73
Amnat Charoen,east_northeast,4,2024,44.28,7448,28987,28339,648,50.28,49.1,1.18
Amnat Charoen,east_northeast,5,2024,39.62,6761,25098,24506,592,43.47,42.4,1.07
Amnat Charoen,east_northeast,6,2024,34.93,5690,21916,21344,572,37.79,36.76,1.03
Amnat Charoen,east_northeast,7,2024,36.12,5926,22805,22206,599,39.02,37.94,1.08
Amnat Charoen,east_northeast,8,2024,34.61,5799,21325,20685,640,35.78,34.61,1.17
Amnat Charoen,east_northeast,9,2024,32.53,5274,19418,18802,616,35.6,34.48,1.12
Ang Thong,central,1,2019,71.21,19140,104097,98816,5281,132.07,126.32,5.75
Ang Thong,central,2,2019,72.54,17409,93944,90029,3915,119.34,115.08,4.26
Ang Thong,central,3,2019,72.38,18721,101423,96733,4690,128.75,123.63,5.12
Ang Thong,central,4,2019,67.72,18524,62828,61929,899,82.61,81.59,1.02
Ang Thong,central,5,2019,73.2,20667,69923,69159,764,91.97,91.11,0.86
Ang Thong,central,6,2019,69.27,18583,63117,62095,1022,82.96,81.81,1.15
Ang Thong,central,7,2019,61.29,15891,66034,60045,5989,72.33,65.47,6.86
Ang Thong,central,8,2019,54.78,13654,54604,51666,2938,59.69,56.33,3.36
Ang Thong,central,9,2019,58.67,15076,60432,57042,3390,66.08,62.2,3.88
Ang Thong,central,10,2019,59.41,12656,54723,53523,1200,63.92,62.66,1.26
Ang Thong,central,11,2019,52.66,10564,45551,44704,847,53.22,52.33,0.89
Ang Thong,central,12,2019,54.94,11991,51880,50703,1177,60.58,59.37,1.21
Ang Thong,central,1,2020,63.97,16084,97978,93280,4698,125.87,120.59,5.28
Ang Thong,central,2,2020,59.3,13461,76997,73479,3518,103.38,99.4,3.98
Ang Thong,central,3,2020,8.63,2025,13506,13463,43,16.49,16.44,0.05
Ang Thong,central,4,2020,0,0,0,0,0,0,0,0
Ang Thong,central,5,2020,2.18,520,520,520,0,0.54,0.54,0
Ang Thong,central,6,2020,5.18,1176,3606,3606,0,3.86,3.86,0
Ang Thong,central,7,2020,13.86,3358,22839,22839,0,21.49,21.49,0
Ang Thong,central,8,2020,16.89,4140,23777,23777,0,21.25,21.25,0
Ang Thong,central,9,2020,19.23,4777,29486,29486,0,29.17,29.17,0
Ang Thong,central,10,2020,18.1,3874,33934,33934,0,36.24,36.24,0
Ang Thong,central,11,2020,19.31,4972,35703,35703,0,36.63,36.63,0
Ang Thong,central,12,2020,17.94,5061,38975,38975,0,42.8,42.8,0
Ang Thong,central,1,2021,5.38,1516,26723,26723,0,26.38,26.38,0
Ang Thong,central,2,2021,21.3,4619,39898,39898,0,45.04,45.04,0
Ang Thong,central,3,2021,30.43,6545,52076,52076,0,60.38,60.38,0
Ang Thong,central,4,2021,15.29,3358,35544,35544,0,38.79,38.79,0
Ang Thong,central,5,2021,4.52,895,2679,2679,0,2.18,2.18,0
Ang Thong,central,6,2021,4.27,843,2258,2258,0,1.8,1.8,0
Ang Thong,central,7,2021,2.46,482,1386,1386,0,1.08,1.08,0
Ang Thong,central,8,2021,1.43,286,962,962,0,0.73,0.73,0
Ang Thong,central,9,2021,7.37,1469,5978,5978,0,4.63,4.63,0
Ang Thong,central,10,2021,13.34,2732,15302,15302,0,12.42,12.42,0
Ang Thong,central,11,2021,14.72,4113,28564,28564,0,23.71,23.71,0
Ang Thong,central,12,2021,21.33,5250,42587,42587,0,43.8,43.8,0
Ang Thong,central,1,2022,22.74,5603,47610,47596,14,46.7,46.69,0.01
Ang Thong,central,2,2022,24.47,6080,51475,51475,0,50.14,50.14,0
Ang Thong,central,3,2022,32.37,6882,58593,58593,0,56.37,56.37,0
Ang Thong,central,4,2022,33.67,7288,64111,64111,0,59.74,59.74,0
Ang Thong,central,5,2022,29.36,6500,57871,57871,0,54.83,54.83,0
Ang Thong,central,6,2022,28.63,6121,54735,54703,32,52.37,52.33,0.04
Ang Thong,central,7,2022,39.28,7901,74890,74812,78,70.83,70.73,0.1
Ang Thong,central,8,2022,32.66,6964,49364,49302,62,50.11,50.02,0.09
Ang Thong,central,9,2022,29.4,6375,46060,45996,64,47.96,47.87,0.09
Ang Thong,central,10,2022,26.29,5839,43532,43491,41,45.81,45.75,0.06
Ang Thong,central,11,2022,34.76,7961,57792,57741,51,59.68,59.61,0.07
Ang Thong,central,12,2022,40.34,9590,64716,64388,328,69.84,69.45,0.39
Ang Thong,central,1,2023,44.76,10762,75492,74944,548,82.71,81.98,0.73
Ang Thong,central,2,2023,48.44,13167,87375,86891,484,113.38,112.72,0.66
Ang Thong,central,3,2023,44.72,12665,71186,70573,613,97.19,96.35,0.84
Ang Thong,central,4,2023,46.43,13271,97215,96590,625,119.05,118.19,0.86
Ang Thong,central,5,2023,42.95,12438,87099,86510,589,106.51,105.73,0.78
Ang Thong,central,6,2023,41.27,11572,84446,83779,667,103.48,102.58,0.9
Ang Thong,central,7,2023,44.54,12330,88512,87847,665,109.54,108.65,0.89
Ang Thong,central,8,2023,45.58,12645,91029,90272,757,115.72,114.65,1.07
Ang Thong,central,9,2023,44.44,12019,85910,85166,744,110.12,109.09,1.03
Ang Thong,central,10,2023,42.67,11271,81045,80399,646,106.94,106.01,0.93
Ang Thong,central,11,2023,43.65,11623,83466,82781,685,111.02,110.02,1
Ang Thong,central,12,2023,48.35,12404,101732,100956,776,139.82,138.66,1.16
Ang Thong,central,1,2024,46.75,12680,94027,93175,852,130.61,129.33,1.28
Ang Thong,central,2,2024,51.49,13529,99862,98793,1069,136.79,135.2,1.59
Ang Thong,central,3,2024,49.33,13072,96696,95676,1020,133.97,132.49,1.48
Ang Thong,central,4,2024,52.83,13472,107723,106867,856,152.2,150.93,1.27
Ang Thong,central,5,2024,48.14,12677,100148,99434,714,136.48,135.45,1.03
Ang Thong,central,6,2024,44.18,12204,94345,93651,694,128.81,127.82,0.99
Ang Thong,central,7,2024,46.95,12808,102409,101401,1008,133.17,131.66,1.51
Ang Thong,central,8,2024,48.54,13212,99578,98272,1306,131.49,129.54,1.95
Ang Thong,central,9,2024,48.05,12770,93707,92569,1138,122.13,120.44,1.69
Bangkok,central,1,2019,93.37,3334971,5959075,3534061,2425014,81926.49,29742.58,52183.91
Bangkok,central,2,2019,89.19,3025538,5211404,2919922,2291482,73884.43,24574,49310.43
Bangkok,central,3,2019,84.4,2887616,5185040,3097209,2087831,70994.13,26066.06,44928.07
Bangkok,central,4,2019,87.91,3239883,5668049,3345739,2322310,88785.9,31928.73,56857.17
Bangkok,central,5,2019,79.44,2955553,5378757,3379718,1999039,81195.51,32253,48942.51
Bangkok,central,6,2019,74.14,2730212,4821534,2890456,1931078,74862.52,27583.91,47278.61
Bangkok,central,7,2019,78.54,3008999,6131044,3895533,2235511,104035.66,44719.8,59315.86
Bangkok,central,8,2019,79.1,3075987,5941743,3534912,2406831,104441.52,40579.96,63861.56
Bangkok,central,9,2019,78.32,2838616,5966121,3925188,2040933,99213.28,45060.24,54153.04
Bangkok,central,10,2019,75.15,2934737,5406264,3908924,1497340,87753.82,27781.57,59972.25
Bangkok,central,11,2019,81.07,3039784,5620260,4087756,1532504,90433.22,29052.57,61380.65
Bangkok,central,12,2019,85.81,3335728,5677271,3554429,2122842,110287.28,25262.08,85025.2
Bangkok,central,1,2020,89.36,3213765,6046765,3573040,2473725,88202.89,31137.65,57065.24
Bangkok,central,2,2020,68.37,2388329,3525522,2259097,1266425,48826.43,18810.39,30016.04
Bangkok,central,3,2020,18.43,601577,1184699,816815,367884,14740.85,6403.18,8337.67
Bangkok,central,4,2020,8.28,252452,252452,109420,143032,8147.07,434.06,7713.01
Bangkok,central,5,2020,11.27,424761,516530,378984,137546,8720.92,1653.74,7067.18
Bangkok,central,6,2020,13.07,476161,878018,795125,82893,7207.94,5189.09,2018.85
Bangkok,central,7,2020,17.93,643740,1028230,974554,53676,9749.7,8348.66,1401.04
Bangkok,central,8,2020,20.63,780196,1799201,1749507,49694,15276.51,14263.35,1013.16
Bangkok,central,9,2020,20.4,764077,1782451,1728642,53809,15065.48,14106.67,958.81
Bangkok,central,10,2020,22.29,868200,1939659,1883019,56640,11036.48,9467.42,1569.06
Bangkok,central,11,2020,25.57,1047121,2364196,2291268,72928,14009.63,11988.41,2021.22
Bangkok,central,12,2020,22.82,946689,2300191,2235930,64261,13756.26,11958.58,1797.68
Bangkok,central,1,2021,7.54,354676,1681847,1632693,49154,9539.73,8447.45,1092.28
Bangkok,central,2,2021,9.98,484142,1984032,1933535,50497,10951.94,9799.71,1152.23
Bangkok,central,3,2021,14.87,553790,1985954,1927628,58326,11142.91,9845.58,1297.33
Bangkok,central,4,2021,10.27,365605,1115611,1063854,51757,7302.48,6164.5,1137.98
Bangkok,central,5,2021,9.42,251987,353401,323907,29494,1491.53,1068.55,422.98
Bangkok,central,6,2021,9.25,222436,256622,230749,25873,1093.88,743.11,350.77
Bangkok,central,7,2021,4.54,104844,169121,147154,21967,709.26,429.87,279.39
Bangkok,central,8,2021,4.91,114961,202959,181431,21528,790.36,519.84,270.52
Bangkok,central,9,2021,14.1,230832,448391,422787,25604,1600.53,1275.61,324.92
Bangkok,central,10,2021,15.68,271942,535508,483200,52308,2161.44,1493.63,667.81
Bangkok,central,11,2021,24.17,507770,1294781,1215564,79217,3940.33,2913.82,1026.51
Bangkok,central,12,2021,31.76,1103572,2543615,2383978,159637,11975.52,9845.11,2130.41
Bangkok,central,1,2022,26.34,1009583,2437497,2299906,137591,11823.61,9642.6,2181.01
Bangkok,central,2,2022,28.84,1044609,2501208,2343918,157290,12279.06,9927.65,2351.41
Bangkok,central,3,2022,33.78,1114806,2624483,2400409,224074,15466.54,11572.13,3894.41
Bangkok,central,4,2022,36.93,1188983,2802633,2552838,249795,17642.24,13098.35,4543.89
Bangkok,central,5,2022,39.91,1223923,2738889,2215993,522896,20299.16,11120.52,9178.64
Bangkok,central,6,2022,42.22,1268316,2956883,2252527,704356,25556.53,11306.83,14249.7
Bangkok,central,7,2022,49.08,1415912,3322469,2319693,1002776,32058.42,11952.56,20105.86
Bangkok,central,8,2022,52.39,1499278,3516020,2468413,1047607,33665.04,12625.6,21039.44
Bangkok,central,9,2022,55.19,1589796,3501068,2495479,1005589,33360.29,12973.92,20386.37
Bangkok,central,10,2022,57.61,1666579,3679161,2449908,1229253,37915.12,12459.39,25455.73
Bangkok,central,11,2022,66.75,1942938,3963110,2336076,1627034,46335.09,12029.99,34305.1
Bangkok,central,12,2022,70.04,2222569,4583029,2658833,1924196,54568.98,13567.28,41001.7
Bangkok,central,1,2023,75.02,2440463,4872078,2749877,2122201,56327.21,14260.01,42067.2
Bangkok,central,2,2023,75.97,2427838,4697654,2540268,2157386,57066.32,13466.93,43599.39
Bangkok,central,3,2023,77.96,2527890,4669908,2498933,2170975,56995.17,13194.29,43800.88
Bangkok,central,4,2023,79.5,2623630,4720294,2484713,2235581,61317.06,13554.03,47763.03
Bangkok,central,5,2023,73.65,2520812,4566493,2433065,2133428,59358.87,14364.82,44994.05
Bangkok,central,6,2023,76.89,2591923,4530923,2380154,2150769,59965.33,13117.87,46847.46
Bangkok,central,7,2023,78.04,2693375,4634035,2462967,2171068,59954.64,12880.85,47073.79
Bangkok,central,8,2023,78.31,2787521,4698658,2483588,2215070,61439.63,13027.91,48411.72
Bangkok,central,9,2023,73.81,2555167,4493195,2533330,1959865,61823.23,13333.88,48489.35
Bangkok,central,10,2023,72.1,2525804,4395788,2412172,1983616,62081.34,12962.8,49118.54
Bangkok,central,11,2023,78.13,2768309,4628432,2457764,2170668,81396.7,13962.81,67433.89
Bangkok,central,12,2023,81.37,2986755,5355912,3033354,2322558,72425.1,14601.82,57823.28
Bangkok,central,1,2024,82.06,3057874,5222742,2701757,2520985,74975.83,13318.17,61657.66
Bangkok,central,2,2024,83.73,3026047,4925143,2282538,2642605,76237.78,12246.94,63990.84
Bangkok,central,3,2024,76.32,2790040,4459579,2247422,2212157,65685.62,12352.59,53333.03
Bangkok,central,4,2024,80.17,2798203,4631173,2521336,2109837,67020.67,15301.85,51718.82
Bangkok,central,5,2024,75.73,2599623,4506482,2457701,2048781,63761.63,14974.13,48787.5
Bangkok,central,6,2024,77.37,2654669,4505110,2465658,2039452,64785.06,14833.97,49951.09
Bangkok,central,7,2024,78.56,2780024,4835459,2608168,2227291,68391.96,15355.61,53036.35
Bangkok,central,8,2024,79.36,2855832,4914055,2697055,2217000,66243.84,15554.4,50689.44
Bangkok,central,9,2024,75.44,2652926,4675374,2540470,2134904,64141.33,13905.58,50235.75
Bueng Kan,east_northeast,1,2019,72.95,37974,65978,65700,278,137.81,137.14,0.67
Bueng Kan,east_northeast,2,2019,61.58,29858,51880,51680,200,108.36,107.88,0.48
Bueng Kan,east_northeast,3,2019,56.83,33727,58605,58402,203,122.42,121.93,0.49
Bueng Kan,east_northeast,4,2019,58.04,22547,51878,50637,1241,76.73,74.47,2.26
Bueng Kan,east_northeast,5,2019,55.17,21618,49634,48908,726,73.24,71.92,1.32
Bueng Kan,east_northeast,6,2019,56.93,21594,49578,48860,718,73.16,71.84,1.32
Bueng Kan,east_northeast,7,2019,52.54,22905,38393,37893,500,70.38,69.18,1.2
Bueng Kan,east_northeast,8,2019,50.24,21483,36025,35508,517,66.07,64.83,1.24
Bueng Kan,east_northeast,9,2019,47.68,20940,35107,34624,483,64.4,63.23,1.17
Bueng Kan,east_northeast,10,2019,58.82,30173,55184,54708,476,90.64,89.84,0.8
Bueng Kan,east_northeast,11,2019,60.96,30572,56076,55366,710,92.11,90.92,1.19
Bueng Kan,east_northeast,12,2019,63.3,31567,57856,57185,671,95.04,93.91,1.13
Bueng Kan,east_northeast,1,2020,72.86,37457,66078,65801,277,138.08,137.43,0.65
Bueng Kan,east_northeast,2,2020,50.28,25036,43501,43335,166,92.09,91.67,0.42
Bueng Kan,east_northeast,3,2020,13.16,7461,13305,13279,26,24.85,24.79,0.06
Bueng Kan,east_northeast,4,2020,0,0,0,0,0,0,0,0
Bueng Kan,east_northeast,5,2020,2.33,958,958,958,0,1.16,1.16,0
Bueng Kan,east_northeast,6,2020,7.81,2978,6849,6849,0,8.44,8.44,0
Bueng Kan,east_northeast,7,2020,34.65,15582,25969,25969,0,40.72,40.72,0
Bueng Kan,east_northeast,8,2020,37.85,16192,26984,26978,6,38.09,38.07,0.02
Bueng Kan,east_northeast,9,2020,39.14,17150,28886,28872,14,43.3,43.27,0.03
Bueng Kan,east_northeast,10,2020,44.74,22991,42801,42775,26,59.26,59.22,0.04
Bueng Kan,east_northeast,11,2020,52.39,27863,51684,51620,64,71.73,71.63,0.1
Bueng Kan,east_northeast,12,2020,53.22,28191,52253,52227,26,72.52,72.48,0.04
Bueng Kan,east_northeast,1,2021,16.93,9087,18017,18017,0,24.06,24.06,0
Bueng Kan,east_northeast,2,2021,25.78,13484,26009,26009,0,37.92,37.92,0
Bueng Kan,east_northeast,3,2021,36.65,19342,36657,36657,0,55.79,55.79,0
Bueng Kan,east_northeast,4,2021,4.19,2157,5420,5420,0,7,7,0
Bueng Kan,east_northeast,5,2021,1.15,609,2107,2107,0,2.24,2.24,0
Bueng Kan,east_northeast,6,2021,2.64,1364,3482,3477,5,3.66,3.65,0.01
Bueng Kan,east_northeast,7,2021,1.95,1038,2816,2816,0,2.72,2.72,0
Bueng Kan,east_northeast,8,2021,1.7,911,2114,2114,0,2.02,2.02,0
Bueng Kan,east_northeast,9,2021,2.41,1225,2662,2662,0,2.6,2.6,0
Bueng Kan,east_northeast,10,2021,7.82,4176,7313,7296,17,7.52,7.49,0.03
Bueng Kan,east_northeast,11,2021,11.55,7604,13820,13531,289,15.16,14.6,0.56
Bueng Kan,east_northeast,12,2021,51.21,27628,49966,49403,563,58.01,56.86,1.15
Bueng Kan,east_northeast,1,2022,64.89,36733,81273,80807,466,105.27,104.26,1.01
Bueng Kan,east_northeast,2,2022,51.27,31300,59426,59019,407,74.97,74.18,0.79
Bueng Kan,east_northeast,3,2022,47.89,28646,54415,54084,331,66.89,66.25,0.64
Bueng Kan,east_northeast,4,2022,50.26,30086,59374,59029,345,76.83,76.13,0.7
Bueng Kan,east_northeast,5,2022,42.51,27048,53134,52732,402,65.94,65.1,0.84
Bueng Kan,east_northeast,6,2022,43.7,27526,54086,53504,582,68.47,67.22,1.25
Bueng Kan,east_northeast,7,2022,47.91,29027,57515,55701,1814,77.02,74.34,2.68
Bueng Kan,east_northeast,8,2022,49.35,29857,58922,57036,1886,78.14,75.28,2.86
Bueng Kan,east_northeast,9,2022,51.9,30918,60694,58687,2007,82.23,79.18,3.05
Bueng Kan,east_northeast,10,2022,53.84,32195,61987,59823,2164,84.73,80.34,4.39
Bueng Kan,east_northeast,11,2022,52.24,31232,59352,56980,2372,79.89,75.06,4.83
Bueng Kan,east_northeast,12,2022,53.72,31740,61277,58885,2392,85.98,81.06,4.92
Bueng Kan,east_northeast,1,2023,54.78,32938,61593,59397,2196,123.08,118.65,4.43
Bueng Kan,east_northeast,2,2023,50.52,31029,57632,55710,1922,112.96,109.32,3.64
Bueng Kan,east_northeast,3,2023,52.47,31939,65694,63625,2069,133.31,129.32,3.99
Bueng Kan,east_northeast,4,2023,53.48,32530,72002,69338,2664,135.88,130.63,5.25
Bueng Kan,east_northeast,5,2023,50.85,31821,70607,68261,2346,134.06,129.65,4.41
Bueng Kan,east_northeast,6,2023,52.76,32741,72574,70312,2262,136.08,131.85,4.23
Bueng Kan,east_northeast,7,2023,53.87,33727,74670,72333,2337,137.05,132.65,4.4
Bueng Kan,east_northeast,8,2023,51.89,32507,72252,70171,2081,134.76,130.85,3.91
Bueng Kan,east_northeast,9,2023,54.78,34074,76340,74131,2209,135.78,131.74,4.04
Bueng Kan,east_northeast,10,2023,55.92,36063,78942,76434,2508,140.91,136.32,4.59
Bueng Kan,east_northeast,11,2023,52.28,32634,73468,71164,2304,133.62,129.54,4.08
Bueng Kan,east_northeast,12,2023,53.92,34770,77652,74986,2666,137.49,132.78,4.71
Bueng Kan,east_northeast,1,2024,51.79,32566,74019,71381,2638,130.54,125.88,4.66
Bueng Kan,east_northeast,2,2024,50.84,31431,70788,68326,2462,123.6,119.27,4.33
Bueng Kan,east_northeast,3,2024,58.43,36420,80271,77739,2532,147.5,143.04,4.46
Bueng Kan,east_northeast,4,2024,61.09,37932,86155,82943,3212,159.65,153.74,5.91
Bueng Kan,east_northeast,5,2024,52.01,33399,75277,72185,3092,140.12,134.45,5.67
Bueng Kan,east_northeast,6,2024,49.61,32196,72606,69652,2954,135.21,129.69,5.52
Bueng Kan,east_northeast,7,2024,54.58,34586,77756,74735,3021,144.76,139.15,5.61
Bueng Kan,east_northeast,8,2024,53.72,32512,76821,73857,2964,139.36,133.82,5.54
Bueng Kan,east_northeast,9,2024,52.24,31072,72648,69752,2896,132.76,127.34,5.42
Buriram,east_northeast,1,2019,71.26,113655,185563,180076,5487,364.16,355.91,8.25
Buriram,east_northeast,2,2019,63.6,95097,154626,151091,3535,303.93,298.62,5.31
Buriram,east_northeast,3,2019,66.41,111294,181050,176767,4283,355.84,349.38,6.46
Buriram,east_northeast,4,2019,65.1,103025,212783,208571,4212,300.98,294.82,6.16
Buriram,east_northeast,5,2019,54.38,93781,193843,189710,4133,274.2,268.16,6.04
Buriram,east_northeast,6,2019,56.02,93944,193969,190240,3729,274.36,268.91,5.45
Buriram,east_northeast,7,2019,53.85,89281,143460,139178,4282,261.01,254.31,6.7
Buriram,east_northeast,8,2019,48.47,78339,125950,122022,3928,229.1,222.96,6.14
Buriram,east_northeast,9,2019,49.43,77493,124356,121023,3333,226.34,221.12,5.22
Buriram,east_northeast,10,2019,95.86,187138,407861,370545,37316,1116.9,896.09,220.81
Buriram,east_northeast,11,2019,50.51,86220,193261,191700,1561,472.82,463.59,9.23
Buriram,east_northeast,12,2019,56.7,95436,213801,211726,2075,524.31,512.02,12.29
Buriram,east_northeast,1,2020,65.4,94359,159289,154482,4807,338.49,331.54,6.95
Buriram,east_northeast,2,2020,60.05,83002,137005,133846,3159,282.46,277.18,5.28
Buriram,east_northeast,3,2020,9.7,15274,25658,25370,288,44.81,44.42,0.39
Buriram,east_northeast,4,2020,0.08,117,117,117,0,0.06,0.06,0
Buriram,east_northeast,5,2020,0.84,1331,1331,1331,0,1.6,1.6,0
Buriram,east_northeast,6,2020,5.27,8140,17167,17167,0,20.51,20.51,0
Buriram,east_northeast,7,2020,28.44,44028,70976,70976,0,110.66,110.66,0
Buriram,east_northeast,8,2020,33.6,51947,84198,84125,73,118.19,118.04,0.15
Buriram,east_northeast,9,2020,35.57,52691,85382,85339,43,133.72,133.61,0.11
Buriram,east_northeast,10,2020,37.7,53310,102808,102761,47,214.8,214.34,0.46
Buriram,east_northeast,11,2020,39.84,68306,136509,136449,60,278.3,277.71,0.59
Buriram,east_northeast,12,2020,40.37,69867,140023,139976,47,284.8,284.34,0.46
Buriram,east_northeast,1,2021,30.33,52498,100988,100958,30,203.81,203.76,0.05
Buriram,east_northeast,2,2021,34.28,59337,116297,116158,139,243.39,243.15,0.24
Buriram,east_northeast,3,2021,52.4,90706,186790,186609,181,390.32,389.98,0.34
Buriram,east_northeast,4,2021,10.37,17364,38966,38860,106,76.72,76.52,0.2
Buriram,east_northeast,5,2021,6.45,11108,19949,19899,50,30.05,29.97,0.08
Buriram,east_northeast,6,2021,7.65,12817,23788,23726,62,35.16,35.07,0.09
Buriram,east_northeast,7,2021,5.29,9185,10752,10721,31,13.81,13.77,0.04
Buriram,east_northeast,8,2021,5.67,9847,12087,12044,43,15.84,15.79,0.05
Buriram,east_northeast,9,2021,9.49,15873,22217,22141,76,30.76,30.67,0.09
Buriram,east_northeast,10,2021,16.36,28406,48708,48574,134,69.33,69.16,0.17
Buriram,east_northeast,11,2021,22.39,40626,77399,76979,420,127.71,126.98,0.73
Buriram,east_northeast,12,2021,38.65,66829,127140,126290,850,219.31,217.62,1.69
